City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Port Hedland,AU,2022-02-04 01:47:38,-20.3167,118.5667,87.85,55,76,17.27,broken clouds
89,Dikson,RU,2022-02-04 01:52:45,73.5069,80.5464,-6.9,94,100,5.99,overcast clouds
90,Ushuaia,AR,2022-02-04 01:49:58,-54.8,-68.3,44.26,65,75,20.71,broken clouds
91,Pantao,PH,2022-02-04 01:59:48,13.1944,123.3271,82.78,70,98,7.56,moderate rain
92,Uray,RU,2022-02-04 01:59:48,60.1247,64.7758,24.46,93,100,8.9,overcast clouds
93,Castro,BR,2022-02-04 01:52:14,-24.7911,-50.0119,65.12,98,100,5.37,overcast clouds
94,Olafsvik,IS,2022-02-04 01:55:44,64.8945,-23.7142,27.7,74,98,28.48,overcast clouds
95,Shwebo,MM,2022-02-04 01:59:49,22.5667,95.7,62.6,57,0,6.69,clear sky
96,Umm Kaddadah,SD,2022-02-04 01:59:50,13.6017,26.6876,66.25,18,3,20.02,clear sky
97,Bhadra,IN,2022-02-04 01:59:50,29.1167,75.1667,47.71,96,23,4.94,few clouds
98,Inongo,CD,2022-02-04 01:59:50,-1.95,18.2667,71.98,91,100,5.19,overcast clouds
99,Jaltenango,MX,2022-02-04 01:59:51,15.8719,-92.7247,67.53,83,7,5.01,clear sky
100,Tuktoyaktuk,CA,2022-02-04 01:59:51,69.4541,-133.0374,-20.2,76,75,11.5,light snow
101,Barrow,US,2022-02-04 01:55:02,71.2906,-156.7887,-27.38,83,100,4.61,fog
102,Airai,TL,2022-02-04 01:52:33,-8.9266,125.4092,71.64,67,77,4.41,broken clouds
103,Cidreira,BR,2022-02-04 01:59:52,-30.1811,-50.2056,75.87,88,80,23.58,broken clouds
104,Port Alfred,ZA,2022-02-04 01:52:37,-33.5906,26.891,69.71,74,96,16.46,overcast clouds
105,Souillac,MU,2022-02-04 01:52:56,-20.5167,57.5167,80.98,89,75,25.32,broken clouds
106,Dryden,CA,2022-02-04 01:59:53,49.7833,-92.7503,-5.51,65,100,5.75,overcast clouds
107,Matara,LK,2022-02-04 01:48:11,5.9485,80.5353,74.25,82,6,4.07,clear sky
108,Yellowknife,CA,2022-02-04 01:52:18,62.456,-114.3525,-26.45,68,0,5.75,clear sky
109,Nytva,RU,2022-02-04 01:59:54,57.9404,55.334,22.89,98,100,3.04,overcast clouds
110,Saint George,US,2022-02-04 01:59:22,37.1041,-113.5841,42.26,28,0,15.01,clear sky
111,Jalu,LY,2022-02-04 01:49:21,29.0331,21.5482,50.16,60,6,12.62,clear sky
112,Vad,RU,2022-02-04 01:59:54,55.5301,44.2114,17.73,92,100,8.25,light snow
113,Mutis,CO,2022-02-04 01:59:55,6.2262,-77.4044,77.97,86,85,2.17,overcast clouds
114,Oktyabrskiy,RU,2022-02-04 01:59:55,54.4815,53.471,30.81,97,100,11.63,snow
115,Fonte Boa,BR,2022-02-04 01:57:57,-2.4959,-66.2662,72.46,95,42,1.7,moderate rain
116,Suntar,RU,2022-02-04 01:53:45,62.1444,117.6319,-15.61,99,96,1.34,overcast clouds
117,Hilo,US,2022-02-04 01:48:29,19.7297,-155.09,76.73,77,75,10.36,broken clouds
118,Longyearbyen,SJ,2022-02-04 01:59:56,78.2186,15.6401,13.84,73,75,10.36,broken clouds
