City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Qeshm,IR,68.32,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
149,Letlhakane,BW,69.93,broken clouds,-21.4167,25.5833,Motswedi Hotel
150,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
152,Boa Viagem,BR,74.91,broken clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
153,Sibolga,ID,79.65,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
157,Kieta,PG,77.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
158,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
161,Mayumba,GA,75.22,overcast clouds,-3.432,10.6554,LIKWALE LODGE
167,Mahebourg,MU,80.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
169,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
171,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
172,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
173,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
175,Eyl,SO,68.9,clear sky,7.9803,49.8164,Amiin Hotel
178,Ponta Do Sol,PT,66.0,scattered clouds,32.6667,-17.1,Hotel do Campo
181,Weligama,LK,74.1,clear sky,5.9667,80.4167,Weligama Bay Resort
182,Tulum,MX,75.97,clear sky,20.2167,-87.4667,Kin Ha Tulum
183,Rawson,AR,67.84,light rain,-43.3002,-65.1023,Hosteria Sampedro
185,Chuy,UY,73.02,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
189,Champerico,GT,81.36,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
195,Santa Marta,CO,82.89,few clouds,11.2408,-74.199,Casa de Isabella
200,Xuddur,SO,68.59,overcast clouds,4.1213,43.8894,Banjanay Hotel
205,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
207,Ugoofaaru,MV,80.65,broken clouds,5.6667,73.0,Ungoofaaru Inn
208,Nang Rong,TH,80.33,light rain,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
209,Le Port,RE,80.56,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
215,Tamandare,BR,78.82,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
217,Irituia,BR,73.45,overcast clouds,-1.7711,-47.4381,Hotel Irituia
219,Arraial Do Cabo,BR,75.43,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
221,Male,MV,80.55,few clouds,4.1748,73.5089,Hotel Octave Maldives
225,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
227,Mecca,SA,71.01,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
228,Mar Del Plata,AR,71.1,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
234,Nouadhibou,MR,66.29,clear sky,20.931,-17.0347,El Medina
235,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
236,Atar,MR,66.88,clear sky,20.5169,-13.0499,Oumou Elghoura
237,Auki,SB,76.3,overcast clouds,-8.7676,160.7034,Auki Motel
241,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
242,Mananjary,MG,75.49,moderate rain,-21.2167,48.3333,Vahiny Lodge
244,Rioja,AR,80.02,scattered clouds,-29.4111,-66.8507,Hotel Libertador
248,Alta Gracia,AR,74.88,clear sky,-31.6529,-64.4283,Hotel Ritz
250,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
255,Colac,AU,72.18,clear sky,-38.3333,143.5833,Otway Gate Motel
256,Mildura,AU,77.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
261,Soure,BR,78.06,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
262,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
264,Codrington,AU,65.52,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
265,Kalmunai,LK,74.43,clear sky,7.4167,81.8167,VS Villa
266,Aquidauana,BR,75.83,light rain,-20.4711,-55.7872,HOTEL ARARAS
267,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
268,Kibala,TD,71.62,broken clouds,9.1104,18.3463,hotel safari
270,Saint-Joseph,RE,79.16,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
272,Kapit,MY,79.09,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
274,Mae Hong Son,TH,67.08,clear sky,19.3003,97.9685,Baiyoke Chalet Hotel
275,Bahia Blanca,AR,73.27,clear sky,-38.7196,-62.2724,Hotel Argos
276,Irati,BR,65.71,overcast clouds,-25.4672,-50.6511,Projetos e Execuções Elétricas Thoms Ltda
277,Jardim,BR,73.13,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
278,San Rafael,AR,67.53,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
279,Manokwari,ID,80.91,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
280,Kedougou,SN,74.32,clear sky,12.5579,-12.1743,Relais de Kédougou
282,Namibe,AO,71.11,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
286,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
289,Whakatane,NZ,77.77,few clouds,-37.9585,176.9854,Pacific Coast Motel
291,Namatanai,PG,84.51,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
293,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
294,Ahipara,NZ,77.4,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
301,Jalingo,NG,70.79,clear sky,8.8833,11.3667,Debright Motel
304,Bonthe,SL,75.97,clear sky,7.5264,-12.505,Bonthe Holiday Village
312,Pietersburg,ZA,68.31,scattered clouds,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
316,Harrison,US,71.62,overcast clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
318,Kpandae,GH,76.21,clear sky,8.4689,-0.0113,S. Amaski Guest House
319,Mumford,GH,79.03,light rain,5.2618,-0.759,Spanish Villa
321,Alta Floresta,BR,71.85,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
322,Sur,OM,67.26,clear sky,22.5667,59.5289,Sur Plaza Hotel
