City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
30,Rikitea,PF,2022-02-03 20:23:31,-23.1203,-134.9692,77.58,77,100,15.77
31,Manono,CD,2022-02-03 20:23:31,-7.3,27.4167,69.6,96,100,0.47
32,Goderich,CA,2022-02-03 20:23:32,43.7501,-81.7165,17.91,67,100,14.97
33,East London,ZA,2022-02-03 20:21:22,-33.0153,27.9116,71.31,85,100,10.89
34,Namibe,AO,2022-02-03 20:23:32,-15.1961,12.1522,73.89,71,2,10.04
35,Bengkulu,ID,2022-02-03 20:20:00,-3.8004,102.2655,76.05,89,100,3.44
36,Mandalgovi,MN,2022-02-03 20:23:33,45.7625,106.2708,2.48,75,2,9.78
37,Severnyy,RU,2022-02-03 20:23:34,50.677,36.5532,30.24,93,100,4.47
38,Bluff,NZ,2022-02-03 20:23:34,-46.6,168.3333,52.81,82,100,5.26
39,New Norfolk,AU,2022-02-03 20:23:34,-42.7826,147.0587,47.71,76,15,2.39
40,Karaman,TR,2022-02-03 20:23:35,37.0833,33.25,33.31,94,100,11.5
41,Shaoyang,CN,2022-02-03 20:23:35,27.2315,111.4525,36.59,87,35,2.01
42,Ribeira Grande,PT,2022-02-03 20:23:36,38.5167,-28.7,59.4,72,20,9.22
43,Vaini,TO,2022-02-03 20:23:36,-21.2,-175.2,82.56,83,75,5.75
44,Saint John,CA,2022-02-03 20:21:51,45.2727,-66.0677,42.03,99,100,3.44
45,Ushuaia,AR,2022-02-03 20:23:37,-54.8,-68.3,47.86,57,75,14.97
46,Kloulklubed,PW,2022-02-03 20:23:37,7.0419,134.2556,79.3,77,79,17.38
47,Srednekolymsk,RU,2022-02-03 20:23:38,67.45,153.6833,-36.36,100,52,1.66
48,Karratha,AU,2022-02-03 20:23:38,-20.7377,116.8463,82.18,73,65,4.36
49,Lazaro Cardenas,MX,2022-02-03 20:23:38,17.9583,-102.2,81.21,55,0,11.81
50,Taoudenni,ML,2022-02-03 20:23:39,22.6783,-3.9836,68.74,17,83,12.26
51,Muroto,JP,2022-02-03 20:23:39,33.2833,134.15,45.68,59,96,4.79
52,Baghmara,IN,2022-02-03 20:23:40,23.795,86.2085,64.51,79,0,5.99
53,Dingle,PH,2022-02-03 20:23:40,10.9995,122.6711,74.77,92,90,7.2
54,Barrow,US,2022-02-03 20:23:40,71.2906,-156.7887,-25.58,83,20,3.44
55,Kaeo,NZ,2022-02-03 20:23:41,-35.1,173.7833,72.32,92,77,10.27
56,Puerto Ayora,EC,2022-02-03 20:23:41,-0.7393,-90.3518,84.16,87,15,7.0
57,Saint George,US,2022-02-03 20:21:01,37.1041,-113.5841,46.44,21,0,3.0
58,Witu,KE,2022-02-03 20:23:42,-2.3889,40.4382,78.96,91,100,7.56
59,San Patricio,US,2022-02-03 20:22:50,28.017,-97.5169,41.09,75,100,20.09
60,Cape Town,ZA,2022-02-03 20:20:03,-33.9258,18.4232,66.09,67,40,1.01
61,Skibbereen,IE,2022-02-03 20:23:43,51.55,-9.2667,51.6,90,100,22.95
62,Nanortalik,GL,2022-02-03 20:23:43,60.1432,-45.2371,28.58,79,100,13.0
63,Nome,US,2022-02-03 20:23:43,64.5011,-165.4064,5.07,57,0,34.52
64,Ahipara,NZ,2022-02-03 20:23:44,-35.1667,173.1667,71.01,87,92,12.66
65,Omboue,GA,2022-02-03 20:23:44,-1.5746,9.2618,76.91,84,93,4.92
66,Hermanus,ZA,2022-02-03 20:23:45,-34.4187,19.2345,63.9,78,5,9.06
